Caminho do cliente;Última verificação;Estado dispositivo;Próximo estado do dispositivo;Fabricante;Modelo;Endereço IP;Número de série;Mac Address;Nome do dispositivo;Localização;Número do modelo;É cor;É duplex;Tecnologia do dispositivo;Tipologia do dispositivo;Data instalação;Localização;Firmware;Criado em;Modificado em;Está desligado;Nome do agente;Contador dispositivo;Total mono;Total cor;Total impressão;Total cópia;Total simples;Total duplex;Total <= A4;Total >= A3;Total impressão mono;Total impressão cor;Total cópia mono;Total cópia cor;Total fax;Total digitalização;Mono <= A4;Cor <= A4;Impressão <= A4;Cópia <= A4;Mono >= A3;Cor >= A3;Impressão >= A3;Cópia >= A3;Mono simples;Cor simples;Impressão simples;Cópia simples;Simples <= A4;Simples >= A3;Mono duplex;Cor duplex;Impressão duplex;Cópia duplex;Duplex <= A4;Duplex >= A3;Mono simples <= A4;Mono simples >= A3;Cor simples <= A4;Cor simples >= A3;Mono duplex <= A4;Mono duplex >= A3;Cor duplex <= A4;Cor duplex >= A3;Impressão mono <= A4;Impressão mono >= A3;Impressão cor <= A4;Impressão cor >= A3;Impressão mono simples;Impressão cor simples;Impressão simples <= A4;Impressão simples >= A3;Impressão mono duplex;Impressão cor duplex;Impressão duplex <= A4;Impressão duplex <= A4;Cópia mono <= A4;Cópia mono >= A3;Cópia cor <= A4;Cópia cor >= A3;Cópia mono simples;Cópia cor simples;Cópia simples <= A4;Cópia simples >= A3;Cópia mono duplex;Cópia cor duplex;Cópia duplex <= A4;Cópia duplex >= A3;Impressão <= A4 simples mono;Impressão <= A4 duplex mono;Impressão <= A4 simples cor;Impressão <= A4 duplex cor;Impressões >= A3 simples mono;Impressões >= A3 duplex mono;Impressões >= A3 simples cor;Impressões >= A3 duplex cor;Cópia <= A4 simples mono;Cópia <= A4 duplex mono;Cópia <= A4 simples cor;Cópia <= A4 duplex cor;Cópias >= A3 simples mono;Cópias >= A3 duplex mono;Cópias >= A3 simples cor;Cópias >= A3 duplex cor;Contador Canon 101;Contador Canon 102;Contador Canon 103;Contador Canon 104;Contador Canon 106;Contador Canon 108;Contador Canon 109;Contador Canon 112;Contador Canon 113;Contador Canon 122;Contador Canon 123;Contador Canon 124;Contador Canon 125;Contador Canon 405;Contador Canon 409;Contador Canon 501;Contador Canon 915;Contador Canon 916;Kyocera Nível 1;Kyocera Nível 2;Kyocera Nível 3;Revelador Preto Ricoh;Revelador Cor Ricoh;Contador Xerox nívek 1 de preto+cor;Contador Xerox nível 2 de cor;Contador Xerox nível 3 de cor;Nível do Toner Preto;Nível do Toner Ciano;Nível do Toner Magenta;Nível do Toner Amarelo;Kit Manutenção;Kit Transferência;Tambor Preto;Tambor Ciano;Tambor Magenta;Tambor Amarelo;Revelador Preto;Revelador Ciano;Revelador Magenta;Revelador Amarelo;Desperdício Preto;Desperdício Ciano;Desperdício Magenta;Desperdício Amarelo;Unidade Agrafos;Unidade Fusor;Tela de Transferência;Unidade da Tela de Transferência;Removedor de Pó de Papel;Filtro Ozono;Painel frontal;Alerta;HP Impressão Accent;HP Cópia Accent;HP Fax Accent;HP Impressão Escritório;HP Cópia Escritório;HP Impressão Profissional;HP Cópia Profissional;HP ciclo do motor;HP ciclo do motor de cor;HP ciclo do motor mono;Business Color;Graphics Color;Highlight Color;Ricoh Color Coverage 1;Ricoh Color Coverage 2;Ricoh Color Coverage 3;Contador Canon 114;Contador Canon 964;Contador Canon 965;Unidade Laser;Descrição do cartucho preto;Número de série do cartucho preto;Descrição do cartucho ciano;Número de série do cartucho ciano;Descrição do cartucho magenta;Número de série do cartucho magenta;Descrição do cartucho amarelo;Número de série do cartucho amarelo;Marianne;Conexão elétrica (h);Modo de suspensão (h);Modo de poupança de energia (h);Modo de funcionamento (h);Consumo de energia (kWh);Emissão de CO2 (kg);Total outro mono;Total outro cor;Contador Canon 502;Uso papel (m2);Uso papel (ft2);Uso total de tinta (ml);Cartucho preto usado;Cartucho ciano usado;Cartucho amarelo usado;Cartucho magenta usado;Marianne Impressão;Marianne Cópia
BIM->BIM;2020/03/05 11:46:46;Gerir;Gerir;Kyocera;ECOSYS P3045dn;10.164.101.119;VM49128203;00:17:C8:6E:D3:E3;KM6ED3E3;;;Não;Sim;Laser;Impressora;;;2T6_S000.002.028;2019/09/13 01:38:25;2020/03/05 11:08:35;Não;BIM;3628;3628;;;;3628;;3628;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;57;;;;;;;;;;;;;;;;;;;;;;;;"Em espera...  ";"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BIM->BIM;2020/03/05 11:54:42;Gerir;Gerir;Kyocera;ECOSYS P3045dn;10.164.100.51;VM48Y15032;00:17:C8:6D:64:87;KM6D6487;;;Não;Sim;Laser;Impressora;;;2T6_S000.002.028;2019/10/25 15:43:01;2020/03/05 11:21:27;Não;BIM;5922;5922;;;;5854;68;5922;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;68;;;;;;;;;;;;;;;;;;;;;;;;"Em espera...  ";"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BIM->BIM;2020/03/05 11:47:46;Gerir;Gerir;Kyocera;ECOSYS P3045dn;10.164.102.45;VM48Y13375;00:17:C8:6D:39:06;KM6D3906;DCCI -Moatize;;Não;Sim;Laser;Impressora;;DCCI -Moatize;2T6_S000.002.302;2019/05/17 09:02:47;2020/03/05 11:11:00;Não;BIM;37424;37424;;;;37424;;37424;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;"Pronta para imprimir.";"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BIM->BIM;2020/03/05 11:48:17;Gerir;Gerir;Kyocera;ECOSYS M3145dn;10.164.100.34;R4Z8604498;00:17:C8:69:AC:1F;PBMZ0NBX02;DCN-LIMOEIROS NAMPULA;;Não;Sim;Laser;Multifunções;;DCN-LIMOEIROS NAMPULA;2TF_S000.001.319;2019/06/14 09:01:29;2020/03/05 11:11:31;Não;BIM;48300;48300;;31600;16700;33854;14446;48300;;31600;;16700;;;45714;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;71;;;;;;;;;;;;;;;;;;;;;;;;"A caixa de toner  está cheia.  ";"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BIM->BIM;2020/03/05 11:45:39;Gerir;Gerir;Kyocera;ECOSYS P3045dn;10.166.0.80;VM48Y13859;00:17:C8:6D:3A:5A;KM6D3A5A;;;Não;Sim;Laser;Impressora;;;2T6_S000.002.302;2019/10/11 16:04:37;2020/03/05 11:06:34;Não;BIM;18349;18349;;;;18349;;18349;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;65;;;;;;;;;;;;;;;;;;;;;;;;"Em espera...  ";"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BIM->BIM;2020/03/04 10:34:04;Gerir;Gerir;Ricoh;Aficio MP 201;10.164.107.34;W3018806928;00:26:73:27:6C:04;RNP276C04;DCS1 -Chibuto;;Não;Sim;Laser;Multifunções;;DCS1 -Chibuto;1.03;2017/04/20 14:56:13;2020/03/04 09:50:24;Não;BIM;136253;136253;;26206;105887;;2092;;;26206;;105887;;4160;14565;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;;;;;;;;;;;;;;;;;;"Modo de Poupan?a de Energia";"Modo de Poupan?a de Energia {10033} - Modo de painel desligado&gt;&gt;Impressão disponível{310033}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BIM->BIM;2020/03/05 11:53:35;Gerir;Gerir;Kyocera;ECOSYS M3145dn;10.164.97.33;R4Z8X08899;00:17:C8:6C:A6:39;PBMZ0CCX01;DCN -MBIM Comercio;;Não;Sim;Laser;Multifunções;;DCN -MBIM Comercio;2TF_S000.001.349;2019/05/17 09:01:30;2020/03/05 11:19:49;Não;BIM;52239;52239;;33844;18395;37520;14719;52239;;33844;;18395;;;66685;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;75;;;;;;;;;;;;;;;;;;;;;;;;"Em espera...  ";"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BIM->BIM;2020/03/05 10:27:08;Gerir;Gerir;Kyocera;ECOSYS P3045dn;10.164.106.150;VM48Y13611;00:17:C8:6D:3A:0E;KM6D3A0E;DCS2 -Inhassoro;;Não;Sim;Laser;Impressora;;DCS2 -Inhassoro;2T6_S000.002.028;2019/06/24 21:29:26;2020/03/05 09:47:00;Não;BIM;18150;18150;;;;18076;74;18150;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;87;;;;;;;;;;;;;;;;;;;;;;;;"Em espera...  ";"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BIM->BIM;2020/03/05 11:52:02;Gerir;Gerir;Kyocera;ECOSYS P3045dn;10.164.113.10;VM49123454;00:17:C8:6E:C5:7E;KM6EC57E;PRP -Eduardo Mondlane Prestige;;Não;Sim;Laser;Impressora;;PRP -Eduardo Mondlane Prestige;2T6_S000.002.302;2019/07/05 17:54:44;2020/03/05 11:17:00;Não;BIM;9558;9558;;;;9492;66;9558;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;33;;;;;;;;;;;;;;;;;;;;;;;;"Em espera...  ";"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BIM->BIM;2020/03/05 11:53:01;Gerir;Gerir;Kyocera;ECOSYS M3145dn;10.164.103.74;R4Z8X08858;00:17:C8:6C:A5:D2;PBMZ0ACX02;DCCI-Manica;;Não;Sim;Laser;Multifunções;;DCCI-Manica;2TF_S000.001.349;2019/06/10 13:29:38;2020/03/05 11:18:45;Não;BIM;5197;5197;;2576;2621;4267;930;5197;;2576;;2621;;;2102;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;81;;;;;;;;;;;;;;;;;;;;;;;;"Em espera...  ";"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BIM->BIM;2020/03/05 11:52:03;Gerir;Gerir;Kyocera;ECOSYS P3045dn;10.164.104.29;VM48Y13955;00:17:C8:6D:3B:0C;KM6D3B0C;DCC -Tesour Interm Beira;;Não;Sim;Laser;Impressora;;DCC -Tesour Interm Beira;2T6_S000.002.028;2019/06/17 11:25:26;2020/03/05 11:17:03;Não;BIM;10692;10692;;;;10692;;10692;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;98;;;;;;;;;;;;;;;;;;;;;;;;"Em espera...  ";"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BIM->BIM;2020/03/05 11:47:54;Gerir;Gerir;Ricoh;MP 201;10.165.171.16;W3049603847;00:26:73:93:75:3D;RNP93753D;PANDA;;Não;Sim;Laser;Multifunções;;PANDA;1.08;2017/09/08 12:56:15;2020/03/05 11:11:08;Não;BIM;123318;123318;;63972;59346;;10778;;;63972;;59346;;;45732;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;;;;;;;;;;;;;;;;;;"Pronto";"Substituir PCU{30401}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BIM->BIM;2020/03/05 11:52:38;Gerir;Gerir;Kyocera;ECOSYS M3040dn;10.164.111.17;LS68149115;00:17:C8:58:65:8E;PBMZFPMMX01;DCS2 -UEM;;Não;Sim;Laser;Multifunções;;DCS2 -UEM;2P0_2000.007.124;2018/08/28 02:06:14;2020/03/05 11:18:03;Não;BIM;128534;128534;;89335;39199;85673;42861;128534;;89335;;39199;;;101666;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;52;;;;;;;;;;;;;;;;;;;;;;;;"Sleeping";"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BIM->BIM;2020/02/28 19:14:40;Gerir;Gerir;Kyocera;ECOSYS P3045dn;10.164.111.77;VM48Y14976;00:17:C8:6D:3E:62;KM6D3E62;DCS1 -Xinavane;;Não;Sim;Laser;Impressora;;DCS1 -Xinavane;2T6_S000.002.302;2019/06/27 10:18:55;2020/02/28 18:32:53;Não;BIM;4473;4473;;;;4002;471;4473;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;45;;;;;;;;;;;;;;;;;;;;;;;;"Em espera...  ";"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BIM->BIM;2020/03/05 11:53:09;Gerir;Gerir;Kyocera;ECOSYS P3045dn;10.164.111.60;VM48Y15756;00:17:C8:6D:79:9E;KM6D799E;DCS2 -USTM;;Não;Sim;Laser;Impressora;;DCS2 -USTM;2T6_S000.002.302;2019/06/12 18:37:11;2020/03/05 11:18:50;Não;BIM;24943;24943;;;;24943;;24943;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;64;;;;;;;;;;;;;;;;;;;;;;;;"Em espera...  ";"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BIM->BIM;2020/03/05 11:46:50;Gerir;Gerir;Kyocera;ECOSYS P3045dn;10.164.111.27;VM48Y13667;00:17:C8:6D:3C:F7;KM6D3CF7;510-DCS2 -Bim UEM;;Não;Sim;Laser;Impressora;;510-DCS2 -Bim UEM;2T6_S000.002.302;2019/08/29 13:36:52;2020/03/05 11:08:43;Não;BIM;17453;17453;;;;17427;26;17453;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;86;;;;;;;;;;;;;;;;;;;;;;;;"Em espera...  ";"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
